"LPAD(1,2,0)||'|'||'VENDAS'||'|'||LPAD(50,3,0)||'|'||:SEQUENCIA||'|'||TO_CHAR(SYSDATE-1,'YYYYMMDDHHMI')||'|'||TO_CHAR(SYSDATE-1,'YYYYMMDD')||'|'||TO_CHAR(SYSDATE-1,'YYYYMMDD')||'|'||'16731862000124'||'|'||'07216054000138'","1"
"01|VENDAS|050||202307111120|20230711|20230711|16731862000124|07216054000138",1
"02|01|00000000000002472059|01|01|20230403|00000000000000000000|00000003439555000122|RJ|21010410|RJ|00000000|CIF|01",2472059
"02|01|00000000000002472061|01|01|20230403|00000000000000000000|00000021026335000400|RJ|21010410|RJ|00000000|CIF|01",2472061
"02|01|00000000000002472062|01|01|20230403|00000000000000000000|00000018959713000657|RJ|21010410|RJ|00000000|CIF|01",2472062
"02|01|00000000000002472063|01|01|20230403|00000000000000000000|00000018959713000908|RJ|21010410|RJ|00000000|CIF|01",2472063
"02|01|00000000000002472065|01|01|20230403|00000000000000000000|00000028259604000176|RJ|21010410|RJ|00000000|CIF|01",2472065
"02|01|00000000000002472066|01|01|20230403|00000000000000000000|00000042542787000163|RJ|21010410|RJ|00000000|CIF|01",2472066
"02|01|00000000000002472067|01|01|20230403|00000000000000000000|00000039090428000108|RJ|21010410|RJ|00000000|CIF|01",2472067
"02|01|00000000000002472068|01|01|20230403|00000000000000000000|00000002877153000147|RJ|21010410|MG|00000000|CIF|01",2472068
"02|01|00000000000002472069|01|01|20230403|00000000000000000000|00000002270109000174|RJ|21010410|MG|00000000|CIF|01",2472069
"02|01|00000000000002472074|01|01|20230403|00000000000000000000|00000027143007001867|RJ|21010410|RJ|00000000|CIF|01",2472074
"02|01|00000000000002472089|01|01|20230403|00000000000000000000|00000003951550000265|RJ|21010410|RJ|00000000|CIF|01",2472089
"02|01|00000000000002472090|01|01|20230403|00000000000000000000|00000009444759000138|RJ|21010410|RJ|00000000|CIF|01",2472090
"02|01|00000000000002472091|01|01|20230403|00000000000000000000|00000009444759000138|RJ|21010410|RJ|00000000|CIF|01",2472091
"02|01|00000000000002472092|01|01|20230403|00000000000000000000|00000009444759000138|RJ|21010410|RJ|00000000|CIF|01",2472092
"02|01|00000000000002472093|01|01|20230403|00000000000000000000|00000014049467004209|RJ|21010410|RJ|00000000|CIF|01",2472093
"02|01|00000000000002472094|01|01|20230403|00000000000000000000|00000007599649000110|RJ|21010410|RJ|00000000|CIF|01",2472094
"02|01|00000000000002472095|01|01|20230403|00000000000000000000|00000004704923000185|RJ|21010410|RJ|00000000|CIF|01",2472095
"02|01|00000000000002472097|01|01|20230404|00000000000000000000|00000024023671000136|RJ|21010410|RJ|00000000|CIF|01",2472097
"02|01|00000000000002472098|01|01|20230403|00000000000000000000|00000011218892000118|RJ|21010410|RJ|00000000|CIF|01",2472098
"02|01|00000000000002472100|01|01|20230403|00000000000000000000|00000029292465000145|RJ|21010410|RJ|00000000|CIF|01",2472100
"02|01|00000000000002472104|01|01|20230403|00000000000000000000|00000060746948046538|RJ|21010410|RJ|00000000|CIF|01",2472104
"02|01|00000000000002472105|01|01|20230403|00000000000000000000|00000048589911000122|RJ|21010410|RJ|00000000|CIF|01",2472105
"02|01|00000000000002472106|01|01|20230403|00000000000000000000|00000030112684000184|RJ|21010410|RJ|00000000|CIF|01",2472106
"02|01|00000000000002472108|01|01|20230403|00000000000000000000|00000000109979000130|RJ|21010410|RJ|00000000|CIF|01",2472108
"02|01|00000000000002472110|01|01|20230403|00000000000000000000|00000012631258000175|RJ|21010410|RJ|00000000|CIF|01",2472110
"02|01|00000000000002472112|01|01|20230403|00000000000000000000|00000035944348000111|RJ|21010410|RJ|00000000|CIF|01",2472112
"02|01|00000000000002472113|01|01|20230403|00000000000000000000|00000023660009000124|RJ|21010410|RJ|00000000|CIF|01",2472113
"02|01|00000000000002472116|01|01|20230403|00000000000000000000|00000033161761000184|RJ|21010410|RJ|00000000|CIF|01",2472116
"02|01|00000000000002472118|01|01|20230403|00000000000000000000|00000073299703000136|RJ|21010410|RJ|00000000|CIF|01",2472118
"02|01|00000000000002472121|01|01|20230403|00000000000000000000|00000007379445000173|RJ|21010410|RJ|00000000|CIF|01",2472121
"02|01|00000000000002472122|01|01|20230403|00000000000000000000|00000044416618000455|RJ|21010410|RJ|00000000|CIF|01",2472122
"02|01|00000000000002472124|01|01|20230403|00000000000000000000|00000021443718000122|RJ|21010410|MG|00000000|CIF|01",2472124
"02|01|00000000000002472125|01|01|20230403|00000000000000000000|00000009034442000123|RJ|21010410|RJ|00000000|CIF|01",2472125
"02|01|00000000000002472126|01|01|20230403|00000000000000000000|00000023220279000114|RJ|21010410|RJ|00000000|CIF|01",2472126
"02|01|00000000000002472127|01|01|20230403|00000000000000000000|00000068639251000154|RJ|21010410|RJ|00000000|CIF|01",2472127
"02|01|00000000000002472128|01|01|20230403|00000000000000000000|00000006325665003410|RJ|21010410|RJ|00000000|CIF|01",2472128
"02|01|00000000000002472129|01|01|20230403|00000000000000000000|00000034145359000179|RJ|21010410|RJ|00000000|CIF|01",2472129
"02|01|00000000000002472130|01|01|20230403|00000000000000000000|00000042382879000476|RJ|21010410|RJ|00000000|CIF|01",2472130
"02|01|00000000000002472131|01|01|20230403|00000000000000000000|00000028635571000111|RJ|21010410|RJ|00000000|CIF|01",2472131
"02|01|00000000000002472132|01|01|20230403|00000000000000000000|00000092017516001309|RJ|21010410|RJ|00000000|CIF|01",2472132
"02|01|00000000000002472134|01|01|20230403|00000000000000000000|00000030715338000190|RJ|21010410|RJ|00000000|CIF|01",2472134
"02|01|00000000000002472135|01|01|20230403|00000000000000000000|00000008390500000199|RJ|21010410|RJ|00000000|CIF|01",2472135
"02|01|00000000000002472136|01|01|20230403|00000000000000000000|00000008321442000141|RJ|21010410|RJ|00000000|CIF|01",2472136
"02|01|00000000000002472137|01|01|20230403|00000000000000000000|00000007986776000171|RJ|21010410|RJ|00000000|CIF|01",2472137
"02|01|00000000000002472138|01|01|20230403|00000000000000000000|00000031444524000103|RJ|21010410|RJ|00000000|CIF|01",2472138
"02|01|00000000000002472139|01|01|20230403|00000000000000000000|00000004648058000105|RJ|21010410|RJ|00000000|CIF|01",2472139
"02|01|00000000000002472140|01|01|20230403|00000000000000000000|00000006141589000124|RJ|21010410|RJ|00000000|CIF|01",2472140
"02|01|00000000000002472141|01|01|20230403|00000000000000000000|00000013638757000157|RJ|21010410|RJ|00000000|CIF|01",2472141
"02|01|00000000000002472142|01|01|20230403|00000000000000000000|00000007969138000142|RJ|21010410|RJ|00000000|CIF|01",2472142
"02|01|00000000000002472143|01|01|20230403|00000000000000000000|00000015796122000103|RJ|21010410|RJ|00000000|CIF|01",2472143
"02|01|00000000000002472144|01|01|20230403|00000000000000000000|00000022917406000176|RJ|21010410|RJ|00000000|CIF|01",2472144
"02|01|00000000000002472146|01|01|20230403|00000000000000000000|00000000180055000120|RJ|21010410|RJ|00000000|CIF|01",2472146
"02|01|00000000000002472147|01|01|20230403|00000000000000000000|00000028176647000198|RJ|21010410|RJ|00000000|CIF|01",2472147
"02|01|00000000000002472148|01|01|20230403|00000000000000000000|00000029340323000106|RJ|21010410|RJ|00000000|CIF|01",2472148
"02|01|00000000000002472149|01|01|20230403|00000000000000000000|00000034704238000110|RJ|21010410|RJ|00000000|CIF|01",2472149
"02|01|00000000000002472150|01|01|20230403|00000000000000000000|00000018959713000495|RJ|21010410|RJ|00000000|CIF|01",2472150
"02|01|00000000000002472153|01|01|20230403|00000000000000000000|00000027875170000257|RJ|21010410|RJ|00000000|CIF|01",2472153
"02|01|00000000000002472158|01|01|20230403|00000000000000000000|00000040217408000134|RJ|21010410|RJ|00000000|CIF|01",2472158
"02|01|00000000000002472160|01|01|20230403|00000000000000000000|00000001155553000186|RJ|21010410|RJ|00000000|CIF|01",2472160
"02|01|00000000000002472162|01|01|20230403|00000000000000000000|00000072128440000300|RJ|21010410|RJ|00000000|CIF|01",2472162
"02|01|00000000000002472163|01|01|20230403|00000000000000000000|00000072128440000644|RJ|21010410|RJ|00000000|CIF|01",2472163
"02|01|00000000000002472164|01|01|20230403|00000000000000000000|00000064421761000523|RJ|21010410|MG|00000000|CIF|01",2472164
"02|01|00000000000002472165|01|01|20230403|00000000000000000000|00000014048213000106|RJ|21010410|RJ|00000000|CIF|01",2472165
"02|01|00000000000002472166|01|01|20230403|00000000000000000000|00000008013549000122|RJ|21010410|RJ|00000000|CIF|01",2472166
"02|01|00000000000002472170|01|01|20230403|00000000000000000000|00000014631422000170|RJ|21010410|RJ|00000000|CIF|01",2472170
"02|01|00000000000002472171|01|01|20230403|00000000000000000000|00000072128440001292|RJ|21010410|RJ|00000000|CIF|01",2472171
"02|01|00000000000002472173|01|01|20230403|00000000000000000000|00000002673900000125|RJ|21010410|RJ|00000000|CIF|01",2472173
"02|01|00000000000002472176|01|01|20230403|00000000000000000000|00000040055845000107|RJ|21010410|RJ|00000000|CIF|01",2472176
"02|01|00000000000002472178|01|01|20230403|00000000000000000000|00000003062378000108|RJ|21010410|SP|00000000|CIF|01",2472178
"02|01|00000000000002472180|01|01|20230403|00000000000000000000|00000034716475000109|RJ|21010410|RJ|00000000|CIF|01",2472180
"02|01|00000000000002472182|01|01|20230403|00000000000000000000|00000027128834000133|RJ|21010410|RJ|00000000|CIF|01",2472182
"02|01|00000000000002472183|01|01|20230403|00000000000000000000|00000008304713002609|RJ|21010410|RJ|00000000|CIF|01",2472183
"02|01|00000000000002472185|01|01|20230403|00000000000000000000|00000033379710000123|RJ|21010410|RJ|00000000|CIF|01",2472185
"02|01|00000000000002472187|01|01|20230403|00000000000000000000|00000031172679000120|RJ|21010410|RJ|00000000|CIF|01",2472187
"02|01|00000000000002472188|01|01|20230403|00000000000000000000|00000011399715000185|RJ|21010410|RJ|00000000|CIF|01",2472188
"02|01|00000000000002472189|01|01|20230403|00000000000000000000|00000007336938000126|RJ|21010410|RJ|00000000|CIF|01",2472189
"02|01|00000000000002472191|01|01|20230403|00000000000000000000|00000006150821000190|RJ|21010410|RJ|00000000|CIF|01",2472191
"02|01|00000000000002472193|01|01|20230403|00000000000000000000|00000009418289000138|RJ|21010410|RJ|00000000|CIF|01",2472193
"02|01|00000000000002472194|01|01|20230403|00000000000000000000|00000006127901000125|RJ|21010410|RJ|00000000|CIF|01",2472194
"02|01|00000000000002472195|01|01|20230403|00000000000000000000|00000018210554000189|RJ|21010410|RJ|00000000|CIF|01",2472195
"02|01|00000000000002472197|01|01|20230403|00000000000000000000|00000015733714000186|RJ|21010410|RJ|00000000|CIF|01",2472197
"02|01|00000000000002472198|01|01|20230403|00000000000000000000|00000072128440000806|RJ|21010410|RJ|00000000|CIF|01",2472198
"02|01|00000000000002472199|01|01|20230403|00000000000000000000|00000072128440000997|RJ|21010410|RJ|00000000|CIF|01",2472199
"02|01|00000000000002472200|01|01|20230403|00000000000000000000|00000017976349000247|RJ|21010410|RJ|00000000|CIF|01",2472200
"02|01|00000000000002472202|01|01|20230403|00000000000000000000|00000017211843000130|RJ|21010410|RJ|00000000|CIF|01",2472202
"02|01|00000000000002472204|01|01|20230403|00000000000000000000|00000041180656000110|RJ|21010410|RJ|00000000|CIF|01",2472204
"02|01|00000000000002472206|01|01|20230403|00000000000000000000|00000017803113000128|RJ|21010410|RJ|00000000|CIF|01",2472206
"02|01|00000000000002472207|01|01|20230403|00000000000000000000|00000029109743000186|RJ|21010410|RJ|00000000|CIF|01",2472207
"02|01|00000000000002472209|01|01|20230403|00000000000000000000|00000043777713000330|RJ|21010410|RJ|00000000|CIF|01",2472209
"02|01|00000000000002472210|01|01|20230403|00000000000000000000|00000032113664000153|RJ|21010410|RJ|00000000|CIF|01",2472210
"02|01|00000000000002472211|01|01|20230403|00000000000000000000|00000040389082000203|RJ|21010410|RJ|00000000|CIF|01",2472211
"02|01|00000000000002472213|01|01|20230403|00000000000000000000|00000004686423000168|RJ|21010410|RJ|00000000|CIF|01",2472213
"02|01|00000000000002472214|01|01|20230403|00000000000000000000|00000072447337000152|RJ|21010410|RJ|00000000|CIF|01",2472214
"02|01|00000000000002472220|01|01|20230403|00000000000000000000|00000068766161000124|RJ|21010410|RJ|00000000|CIF|01",2472220
"02|01|00000000000002472221|01|01|20230403|00000000000000000000|00000001644114000218|RJ|21010410|RJ|00000000|CIF|01",2472221
"02|01|00000000000002472222|01|01|20230403|00000000000000000000|00000003743154000161|RJ|21010410|RJ|00000000|CIF|01",2472222
"02|01|00000000000002472223|01|01|20230403|00000000000000000000|00000011170873000169|RJ|21010410|RJ|00000000|CIF|01",2472223
"02|01|00000000000002472224|01|01|20230403|00000000000000000000|00000004220248000119|RJ|21010410|RJ|00000000|CIF|01",2472224
"02|01|00000000000002472225|01|01|20230403|00000000000000000000|00000042116376000106|RJ|21010410|RJ|00000000|CIF|01",2472225
"02|01|00000000000002472228|01|01|20230403|00000000000000000000|00000010970887008936|RJ|21010410|RJ|00000000|CIF|01",2472228
"02|01|00000000000002472229|01|01|20230403|00000000000000000000|00000008304713000401|RJ|21010410|RJ|00000000|CIF|01",2472229
