LPAD(1,2,0)||'|'||'VENDAS'||'|'||LPAD(50,3,0)||'|'||:SEQUENCIA||'|'||TO_CHAR(SYSDATE-1,'YYYYMMDDHHMI')||'|'||TO_CHAR(SYSDATE-1,'YYYYMMDD')||'|'||TO_CHAR(SYSDATE-1,'YYYYMMDD')||'|'||'16731862000124'||'|'||'07216054000138',1
01|VENDAS|050||202303021041|20230302|20230302|16731862000124|07216054000138,1
02|01|00000000000000000107|01|02|20230103|00000000000000000000|00000030466633000150|RJ|21010410|RJ|00000000|CIF|01,107
03|00000000000000000107|01|02|         3077|05|  28.86|N|   144.30|   144.30|00|00|00|00|00,107
02|01|00000000000000006433|01|02|20230206|00000000000000000000|00000004072878000355|RJ|21010410|RJ|00000000|CIF|01,6433
03|00000000000000006433|01|02|         1430|10|  28.82|N|   288.20|   288.20|00|00|00|00|00,6433
02|01|00000000000000009790|01|02|20230209|00000000000000000000|00000003132736000101|RJ|21010410|RJ|00000000|CIF|01,9790
03|00000000000000009790|01|02|         1430|10|  24.55|N|   245.50|   245.50|00|00|00|00|00,9790
02|01|00000000000000309342|01|02|20230209|00000000000000000000|00000061072625000153|RJ|21010410|SP|00000000|CIF|01,309342
03|00000000000000309342|01|02|         1430|70|  24.50|N|  1715.00|  1715.00|00|00|00|00|00,309342
02|01|00000000000002428545|01|02|20230102|00000000000000000000|00000057120875000225|RJ|21010410|RJ|00000000|CIF|01,2428545
03|00000000000002428545|01|02|         1430|04|  25.99|N|   103.96|   103.96|00|00|00|00|00,2428545
02|01|00000000000002428547|01|02|20230103|00000000000000000000|00000010717484000148|RJ|21010410|RJ|00000000|CIF|01,2428547
03|00000000000002428547|01|02|         1430|10|  23.00|N|   230.00|   230.00|00|00|00|00|00,2428547
02|01|00000000000002428557|01|01|20230102|00000000000000000000|00000029301372000300|RJ|21010410|RJ|00000000|CIF|01,2428557
02|01|00000000000002428557|01|01|20230102|00000000000000000000|00000029301372000300|RJ|21010410|RJ|00000000|CIF|01,2428557
03|00000000000002428557|01|01|         1429|50|   4.67|N|   233.50|   233.50|00|00|00|00|00,2428557
03|00000000000002428557|01|01|         1430|10|  22.61|N|   226.10|   226.10|00|00|00|00|00,2428557
02|01|00000000000002428558|01|01|20230102|00000000000000000000|00000016731436000190|RJ|21010410|RJ|00000000|CIF|01,2428558
03|00000000000002428558|01|01|         1430|10|  31.65|N|   316.50|   316.50|00|00|00|00|00,2428558
02|01|00000000000002428563|01|01|20230102|00000000000000000000|00000027197888000312|RJ|21010410|RJ|00000000|CIF|01,2428563
03|00000000000002428563|01|01|         1430|40|  22.90|N|   916.00|   916.00|00|00|00|00|00,2428563
02|01|00000000000002428566|01|01|20230102|00000000000000000000|00000007210221000214|RJ|21010410|RJ|00000000|CIF|01,2428566
03|00000000000002428566|01|01|         1430|16|  23.90|N|   382.40|   382.40|00|00|00|00|00,2428566
02|01|00000000000002428567|01|01|20230102|00000000000000000000|00000007210221000214|RJ|21010410|RJ|00000000|CIF|01,2428567
03|00000000000002428567|01|01|         1430|07|  23.90|N|   167.30|   167.30|00|00|00|00|00,2428567
02|01|00000000000002428568|01|01|20230102|00000000000000000000|00000004144508000629|RJ|21010410|RJ|00000000|CIF|01,2428568
03|00000000000002428568|01|01|         1430|10|  23.90|N|   239.00|   239.00|00|00|00|00|00,2428568
02|01|00000000000002428569|01|01|20230102|00000000000000000000|00000004144508000629|RJ|21010410|RJ|00000000|CIF|01,2428569
03|00000000000002428569|01|01|         1430|02|  23.90|N|    47.80|    47.80|00|00|00|00|00,2428569
02|01|00000000000002428571|01|01|20230102|00000000000000000000|00000030658633000403|RJ|21010410|RJ|00000000|CIF|01,2428571
03|00000000000002428571|01|01|         1430|03|  23.90|N|    71.70|    71.70|00|00|00|00|00,2428571
02|01|00000000000002428572|01|01|20230102|00000000000000000000|00000030658633000403|RJ|21010410|RJ|00000000|CIF|01,2428572
03|00000000000002428572|01|01|         1430|04|  23.90|N|    95.60|    95.60|00|00|00|00|00,2428572
02|01|00000000000002428578|01|01|20230102|00000000000000000000|00000030658633000403|RJ|21010410|RJ|00000000|CIF|01,2428578
03|00000000000002428578|01|01|         1430|08|  23.90|N|   191.20|   191.20|00|00|00|00|00,2428578
02|01|00000000000002428582|01|01|20230102|00000000000000000000|00000030658633000403|RJ|21010410|RJ|00000000|CIF|01,2428582
03|00000000000002428582|01|01|         1430|04|  23.90|N|    95.60|    95.60|00|00|00|00|00,2428582
02|01|00000000000002428585|01|01|20230102|00000000000000000000|00000019676776001800|RJ|21010410|RJ|00000000|CIF|01,2428585
03|00000000000002428585|01|01|         1430|02|  28.85|N|    57.70|    57.70|00|00|00|00|00,2428585
02|01|00000000000002428586|01|01|20230102|00000000000000000000|00000004931019000706|RJ|21010410|RJ|00000000|CIF|01,2428586
03|00000000000002428586|01|01|         1430|24|  24.90|N|   597.60|   597.60|00|00|00|00|00,2428586
02|01|00000000000002428589|01|01|20230102|00000000000000000000|00000012092206000178|RJ|21010410|RJ|00000000|CIF|01,2428589
03|00000000000002428589|01|01|         1430|05|  28.90|N|   144.50|   144.50|00|00|00|00|00,2428589
02|01|00000000000002428591|01|01|20230102|00000000000000000000|00000004144508000629|RJ|21010410|RJ|00000000|CIF|01,2428591
03|00000000000002428591|01|01|         1430|04|  23.90|N|    95.60|    95.60|00|00|00|00|00,2428591
02|01|00000000000002428594|01|01|20230103|00000000000000000000|00000028718740000187|RJ|21010410|RJ|00000000|CIF|01,2428594
03|00000000000002428594|01|01|         1430|12|  19.00|N|  2280.00|  2280.00|00|00|00|00|00,2428594
02|01|00000000000002428596|01|01|20230102|00000000000000000000|00000007864634000646|RJ|21010410|RJ|00000000|CIF|01,2428596
03|00000000000002428596|01|01|         1430|20|  20.90|N|   418.00|   418.00|00|00|00|00|00,2428596
02|01|00000000000002428597|01|01|20230102|00000000000000000000|00000012589565000135|RJ|21010410|RJ|00000000|CIF|01,2428597
03|00000000000002428597|01|01|         1430|10|  22.30|N|   223.00|   223.00|00|00|00|00|00,2428597
02|01|00000000000002428598|01|01|20230102|00000000000000000000|00000007210221000214|RJ|21010410|RJ|00000000|CIF|01,2428598
03|00000000000002428598|01|01|         1430|06|  23.90|N|   143.40|   143.40|00|00|00|00|00,2428598
02|01|00000000000002428599|01|01|20230102|00000000000000000000|00000010827182000203|RJ|21010410|RJ|00000000|CIF|01,2428599
03|00000000000002428599|01|01|         1430|30|  21.90|N|  6570.00|  6570.00|00|00|00|00|00,2428599
02|01|00000000000002428601|01|01|20230102|00000000000000000000|00000004144508000629|RJ|21010410|RJ|00000000|CIF|01,2428601
03|00000000000002428601|01|01|         1430|04|  23.90|N|    95.60|    95.60|00|00|00|00|00,2428601
02|01|00000000000002428602|01|01|20230102|00000000000000000000|00000030658633000403|RJ|21010410|RJ|00000000|CIF|01,2428602
03|00000000000002428602|01|01|         1430|02|  23.90|N|    47.80|    47.80|00|00|00|00|00,2428602
02|01|00000000000002428603|01|01|20230102|00000000000000000000|00000033588218000168|RJ|21010410|RJ|00000000|CIF|01,2428603
03|00000000000002428603|01|01|         1430|10|  26.90|N|   269.00|   269.00|00|00|00|00|00,2428603
02|01|00000000000002428606|01|01|20230102|00000000000000000000|00000004144508000629|RJ|21010410|RJ|00000000|CIF|01,2428606
03|00000000000002428606|01|01|         1430|05|  23.90|N|   119.50|   119.50|00|00|00|00|00,2428606
02|01|00000000000002428607|01|02|20230102|00000000000000000000|00000036387515000133|RJ|21010410|RJ|00000000|CIF|01,2428607
02|01|00000000000002428607|01|02|20230102|00000000000000000000|00000036387515000133|RJ|21010410|RJ|00000000|CIF|01,2428607
03|00000000000002428607|01|02|         1429|05|   4.77|N|    23.85|    23.85|00|00|00|00|00,2428607
03|00000000000002428607|01|02|         1430|10|  23.56|N|   235.60|   235.60|00|00|00|00|00,2428607
02|01|00000000000002428608|01|01|20230102|00000000000000000000|00000031317035000182|RJ|21010410|RJ|00000000|CIF|01,2428608
03|00000000000002428608|01|01|         1430|50|  22.90|N|  1145.00|  1145.00|00|00|00|00|00,2428608
02|01|00000000000002428616|01|01|20230102|00000000000000000000|00000068566744000101|RJ|21010410|RJ|00000000|CIF|01,2428616
03|00000000000002428616|01|01|         1430|10|  25.90|N|   259.00|   259.00|00|00|00|00|00,2428616
